D3,AQ3045-01ETG,TopLayer,SOD882,340,630,0,TVS DIODE 5.3VWM 12VC SOD882
D2,RED,TopLayer,LED0402R,1730,800,270,LED RED 0402 SMD
D1,GREEN,TopLayer,LED0402G,1730,200,90,LED YLW-GRN 0402 SMD
C16,"1uF, 35V",TopLayer,CAPC1005X55N,1650,200,90,CAP CER 1UF 35V X5R 0402
C15,"100nF, 50V",TopLayer,CAPC1005X55N,2555,855,180,CAP CER 0.1UF 50V X7R 0402
C14,"10uF, 10V",TopLayer,CAPC1005X55N,2470,855,0,CAP CER 10UF 10V X5R 0402
C13,"10uF, 10V",TopLayer,CAPC1005X55N,530,220,270,CAP CER 10UF 10V X5R 0402
C12,"10uF, 10V",TopLayer,CAPC1005X55N,580,220,270,CAP CER 10UF 10V X5R 0402
C11,"4u7, 16V",TopLayer,CAPC1005X55N,580,360,90,CAP CER 4.7UF 16V X5R 0402
C10,"100nF, 50V",TopLayer,CAPC1005X55N,440,370,180,CAP CER 0.1UF 50V X7R 0402
C9,"100nF, 50V",TopLayer,CAPC1005X55N,530,850,0,CAP CER 0.1UF 50V X7R 0402
C8,"100nF, 50V",TopLayer,CAPC1005X55N,530,680,0,CAP CER 0.1UF 50V X7R 0402
C6,"100nF, 50V",TopLayer,CAPC1005X55N,910,800,180,CAP CER 0.1UF 50V X7R 0402
C5,"100nF, 50V",TopLayer,CAPC1005X55N,2640,855,180,CAP CER 0.1UF 50V X7R 0402
C4,"100nF, 50V",TopLayer,CAPC1005X55N,2640,145,0,CAP CER 0.1UF 50V X7R 0402
C3,"100nF, 50V",TopLayer,CAPC1005X55N,740,610,180,CAP CER 0.1UF 50V X7R 0402
C2,"4u7, 16V",TopLayer,CAPC1005X55N,740,560,180,CAP CER 4.7UF 16V X5R 0402
C1,"100nF, 50V",TopLayer,CAPC1005X55N,440,630,180,CAP CER 0.1UF 50V X7R 0402
